# Version 1.00
#
# Ref Impedances: Z01: 50
# 
freq[Hz];mag:Smith_S11[U];ang:Smith_S11[°];Magnitude_S11[dB];Phase_S11[°];
1.886000000000000E+08;6.355803528972422E-01;1.667324113674734E+02;-3.936590723949936E+00;1.667324113674734E+02;
1.892000000000000E+08;6.388953448355151E-01;1.620975038073374E+02;-3.891405524870536E+00;1.620975038073374E+02;
1.898000000000000E+08;6.419423097594862E-01;1.573592666097494E+02;-3.850079989367037E+00;1.573592666097494E+02;
1.904000000000000E+08;6.441444230522886E-01;1.525667126910317E+02;-3.820334978806684E+00;1.525667126910317E+02;
1.910000000000000E+08;6.451022098816649E-01;1.477421081819352E+02;-3.807429407421475E+00;1.477421081819352E+02;
1.916000000000000E+08;6.453840675232542E-01;1.429276894952808E+02;-3.803635202941684E+00;1.429276894952808E+02;
1.922000000000000E+08;6.450820898249077E-01;1.382017910322537E+02;-3.807700315372468E+00;1.382017910322537E+02;
1.928000000000000E+08;6.452140268314991E-01;1.335677806091561E+02;-3.805923994003086E+00;1.335677806091561E+02;
1.934000000000000E+08;6.468890129170244E-01;1.289134020870590E+02;-3.783404501383468E+00;1.289134020870590E+02;
1.940000000000000E+08;6.492896950171777E-01;1.241653433500500E+02;-3.751229796624366E+00;1.241653433500500E+02;
1.946000000000000E+08;6.523268567528097E-01;1.192617114861310E+02;-3.710694818038930E+00;1.192617114861310E+02;
1.952000000000000E+08;6.540507540769898E-01;1.142377717678925E+02;-3.687770985798598E+00;1.142377717678925E+02;
1.958000000000000E+08;6.548068346168948E-01;1.091470709861092E+02;-3.677735924819741E+00;1.091470709861092E+02;
1.964000000000000E+08;6.548244420037872E-01;1.040401210258740E+02;-3.677502369280711E+00;1.040401210258740E+02;
1.970000000000000E+08;6.540060652912462E-01;9.892861532957654E+01;-3.688364479682704E+00;9.892861532957654E+01;
1.976000000000000E+08;6.530959440532821E-01;9.378968326126740E+01;-3.700460266929962E+00;9.378968326126740E+01;
1.982000000000000E+08;6.516399049897729E-01;8.858412694043322E+01;-3.719846566269747E+00;8.858412694043322E+01;
1.988000000000000E+08;6.493619802293112E-01;8.332634006200533E+01;-3.750262853158814E+00;8.332634006200533E+01;
1.994000000000000E+08;6.464400047281723E-01;7.803188255779970E+01;-3.789435504598328E+00;7.803188255779970E+01;
2.000000000000000E+08;6.425987023080093E-01;7.262614549912142E+01;-3.841203116338624E+00;7.262614549912142E+01;
